rank,symbol,score,price,gap_pct,volume,avg_volume,rel_volume,macro_bias,news_catalyst_score,long_allowed,no_trade_reason
1,GOOGL,3.2042,314.98,4.00528,51937895.0,0.0,0.0,0.0,0.0,True,
2,AMZN,2.0502,210.11,2.56273,63898535.0,0.0,0.0,0.0,0.0,True,
3,META,1.3499,655.66,1.6874,14057273.0,0.0,0.0,0.0,0.0,True,
4,NVDA,0.8175,189.82,1.02182,177681620.0,0.0,0.0,0.0,0.0,True,
5,SMCI,0.6468,32.42,0.80846,26007678.0,0.0,0.0,0.0,0.0,True,
6,PLTR,0.2076,135.24,0.25947,53454425.0,0.0,0.0,0.0,0.0,True,
7,TSLA,0.0214,411.82,0.02671576,57794936.0,0.0,0.0,0.0,0.0,True,
8,PWR,-0.1935,552.66,-0.24188,1058568.0,0.0,0.0,0.0,0.0,True,
9,MSFT,-0.247,397.23,-0.30869,31825617.0,0.0,0.0,0.0,0.0,True,
10,AMD,-1.2667,200.15,-1.58332,35308118.0,0.0,0.0,0.0,0.0,True,
