symbol,list_name,is_active,active_since,add_streak,remove_streak,last_score,last_run_date,candidate_active,decision_source,decision_reason
SPY,clean_reclaim,1,2026-03-23,5,0,0.95,2026-03-23,1,generator,retained by active generator candidate
SPY,stop_hunt_prone,0,,0,4,1.0,2026-03-23,0,generator,below add threshold
SPY,midday_dead,0,,0,4,0.15,2026-03-23,0,generator,below add threshold
SPY,rth_only,0,,0,4,0.1,2026-03-23,0,generator,below add threshold
SPY,weak_premarket,0,,0,4,0.15,2026-03-23,0,generator,below add threshold
SPY,weak_afterhours,0,,0,4,0.15,2026-03-23,0,generator,below add threshold
SPY,fast_decay,0,,0,4,0.65,2026-03-23,0,generator,below add threshold
AAPL,clean_reclaim,1,2026-03-23,5,0,0.925,2026-03-23,1,generator,retained by active generator candidate
AAPL,stop_hunt_prone,0,,0,4,0.5,2026-03-23,0,generator,below add threshold
AAPL,midday_dead,0,,0,4,0.075,2026-03-23,0,generator,below add threshold
AAPL,rth_only,0,,0,4,0.5,2026-03-23,0,generator,below add threshold
AAPL,weak_premarket,0,,0,4,0.5,2026-03-23,0,generator,below add threshold
AAPL,weak_afterhours,0,,0,4,0.5,2026-03-23,0,generator,below add threshold
AAPL,fast_decay,0,,0,4,0.325,2026-03-23,0,generator,below add threshold
TSLA,clean_reclaim,0,,0,4,0.525,2026-03-23,0,generator,below add threshold
TSLA,stop_hunt_prone,1,2026-03-23,5,0,1.0,2026-03-23,1,generator,retained by active generator candidate
TSLA,midday_dead,0,,0,4,0.575,2026-03-23,0,generator,below add threshold
TSLA,rth_only,0,,0,4,0.1,2026-03-23,0,generator,below add threshold
TSLA,weak_premarket,0,,0,4,0.15,2026-03-23,0,generator,below add threshold
TSLA,weak_afterhours,0,,0,4,0.15,2026-03-23,0,generator,below add threshold
TSLA,fast_decay,1,2026-03-23,5,0,0.825,2026-03-23,1,generator,retained by active generator candidate
